dev_id,active_time,uptime,collisions,messages,algorithm
nn66,0.16,24.28,2,0,ucb
jLn5,1.16,24.29,1,0,ucb
Hh7f,0.0,24.28,1,0,ucb
VGHy,0.21,24.31,2,0,ucb
xhil,0.16,24.33,4,0,ucb
XPqS,0.14,24.75,4,0,ucb
J836,0.01,25.04,1,0,ucb
pW7M,3.46,24.98,7,0,ucb
X8Kn,0.26,24.77,6,0,ucb
KlSz,0.1,24.68,2,0,ucb
o6Hj,0.01,25.01,0,0,ucb
W4AS,0.03,24.95,7,0,ucb
m9HG,1.02,24.78,9,0,ucb
79S3,0.15,24.58,2,0,ucb
o32G,0.14,24.58,1,0,ucb
AWlH,0.0,24.97,1,0,ucb
FEOW,1.75,24.42,6,0,ucb
QQ5C,0.35,25.01,5,0,ucb
g8Cg,0.03,25.0,2,0,ucb
d6J1,4.84,25.04,14,0,ucb
W9xS,0.01,24.88,0,0,ucb
B6v5,1.92,24.96,7,0,ucb
Oikg,0.11,24.62,4,0,ucb
j6eI,0.15,25.08,0,0,ucb
wrne,0.13,25.03,0,0,ucb
AIj7,0.04,24.99,0,0,ucb
bG4K,0.14,24.66,2,0,ucb
ojp7,3.04,24.41,7,0,ucb
iOK8,0.8,25.08,9,0,ucb
sFSK,1.28,24.86,11,0,ucb
NPuJ,0.71,25.0,8,0,ucb
7aYk,0.38,24.65,3,0,ucb
8K3K,0.4,24.32,4,0,ucb
vmmR,0.54,24.71,3,0,ucb
PHDA,0.49,24.5,9,0,ucb
r6y8,0.07,24.76,1,0,ucb
g10F,1.3,24.34,3,0,ucb
bTFy,1.28,24.74,7,0,ucb
jiIo,0.02,24.51,0,0,ucb
3s1T,0.27,24.87,7,0,ucb
zcAF,0.29,24.47,1,0,ucb
7lvb,0.05,24.56,1,0,ucb
QymN,0.33,24.74,2,0,ucb
n0Gb,0.01,24.96,1,0,ucb
iTGU,1.42,24.46,12,0,ucb
EZ8c,2.34,24.57,22,0,ucb
2h25,0.18,24.64,0,0,ucb
GO2D,0.21,24.44,2,0,ucb
NFw6,1.07,24.41,12,0,ucb
zP04,1.7,24.78,10,0,ucb
8XwI,0.17,24.8,0,0,ucb
Y0EB,0.67,24.63,5,0,ucb
BNrD,0.02,24.65,2,0,ucb
hdbn,1.52,24.56,11,0,ucb
9eTE,0.0,24.92,1,0,ucb
w8zS,1.38,24.66,3,0,ucb
lnXJ,0.05,24.81,2,0,ucb
BzNA,0.26,24.9,2,0,ucb
C7cC,1.45,24.62,5,0,ucb
FzQn,2.62,24.97,7,0,ucb
y9Ch,0.81,24.9,8,0,ucb
DY9f,0.32,24.7,2,0,ucb
E2cD,0.02,24.89,1,0,ucb
Dazr,0.25,24.82,5,0,ucb
IMZE,0.0,25.06,0,0,ucb
3IZG,0.71,24.94,11,0,ucb
oBLw,1.07,25.01,4,0,ucb
CFDa,0.09,24.73,2,0,ucb
cs1r,0.12,24.97,5,0,ucb
FFwK,1.41,25.06,10,0,ucb
aK6J,0.52,24.31,3,0,ucb
tTo0,0.03,24.54,2,0,ucb
hK3b,0.27,24.83,4,0,ucb
hYiS,1.25,24.85,2,0,ucb
OqbH,2.15,25.02,8,0,ucb
usMx,1.44,24.83,8,0,ucb
A29D,0.0,24.86,0,0,ucb
0tGn,1.1,24.88,8,0,ucb
5B9q,1.76,24.53,9,0,ucb
vTYy,0.05,24.98,2,0,ucb
jPTt,0.0,24.92,2,0,ucb
WtAl,0.0,24.94,0,0,ucb
rb8P,0.1,25.02,0,0,ucb
OXro,0.02,24.77,0,0,ucb
t3w0,0.01,25.08,2,0,ucb
96VU,0.06,25.06,5,0,ucb
bnSu,0.45,24.98,4,0,ucb
fROn,0.48,25.05,7,0,ucb
9pll,0.33,25.04,11,0,ucb
jQ7Z,1.25,25.04,6,0,ucb
L6YW,0.03,24.32,0,0,ucb
c9Xk,0.3,24.91,4,0,ucb
MnU3,0.13,25.01,4,0,ucb
cnKJ,0.64,25.03,11,0,ucb
6Qsl,0.46,24.68,9,0,ucb
Qihc,0.0,25.07,0,0,ucb
QQ9W,0.73,24.45,6,0,ucb
9AlE,0.01,24.97,0,0,ucb
ACG7,0.03,24.43,0,0,ucb