11111aaa,xababvsfjv12345,20,4,7,12,00:05:06,"[{""sf"":""7"",""pw"":""5"",""rw"":""8""}]",1,1
22222bbb,wwwwwwwwwwwwwww54321,40,4,7,12,00:32:21,"[{""sf"":""7"",""pw"":""5"",""rw"":""8""}]",1,1
QEFB,,1,15,15,11,00:35:01,"[{""sf"": 7, ""pw"": 10, ""rw"": 8}, {""sf"": 7, ""pw"": 11, ""rw"": 8}, {""sf"": 7, ""pw"": 12, ""rw"": 8}, {""sf"": 7, ""pw"": 13, ""rw"": 8}, {""sf"": 7, ""pw"": 14, ""rw"": 8}, {""sf"": 7, ""pw"": 15, ""rw"": 9}, {""sf"": 8, ""pw"": 10, ""rw"": 8}, {""sf"": 8, ""pw"": 11, ""rw"": 8}, {""sf"": 8, ""pw"": 12, ""rw"": 8}, {""sf"": 8, ""pw"": 13, ""rw"": 8}, {""sf"": 8, ""pw"": 14, ""rw"": 8}, {""sf"": 8, ""pw"": 15, ""rw"": 9}, {""sf"": 9, ""pw"": 10, ""rw"": 8}, {""sf"": 9, ""pw"": 11, ""rw"": 8}, {""sf"": 9, ""pw"": 12, ""rw"": 8}, {""sf"": 9, ""pw"": 13, ""rw"": 8}, {""sf"": 9, ""pw"": 14, ""rw"": 9}, {""sf"": 10, ""pw"": 10, ""rw"": 8}, {""sf"": 10, ""pw"": 11, ""rw"": 8}, {""sf"": 10, ""pw"": 12, ""rw"": 8}, {""sf"": 10, ""pw"": 13, ""rw"": 8}, {""sf"": 10, ""pw"": 14, ""rw"": 8}, {""sf"": 10, ""pw"": 15, ""rw"": 9}, {""sf"": 11, ""pw"": 10, ""rw"": 8}, {""sf"": 11, ""pw"": 11, ""rw"": 8}, {""sf"": 11, ""pw"": 12, ""rw"": 8}, {""sf"": 11, ""pw"": 13, ""rw"": 8}, {""sf"": 11, ""pw"": 14, ""rw"": 8}, {""sf"": 11, ""pw"": 15, ""rw"": 9}, {""sf"": 12, ""pw"": 10, ""rw"": 8}, {""sf"": 12, ""pw"": 11, ""rw"": 8}, {""sf"": 12, ""pw"": 12, ""rw"": 8}, {""sf"": 12, ""pw"": 13, ""rw"": 8}, {""sf"": 12, ""pw"": 14, ""rw"": 8}, {""sf"": 12, ""pw"": 15, ""rw"": 10}]",1,1
QkFA,,1,15,15,11,00:08:06,"[{""sf"": 7, ""pw"": 10, ""rw"": 8}, {""sf"": 7, ""pw"": 11, ""rw"": 8}, {""sf"": 7, ""pw"": 12, ""rw"": 8}, {""sf"": 7, ""pw"": 13, ""rw"": 8}, {""sf"": 7, ""pw"": 14, ""rw"": 8}, {""sf"": 7, ""pw"": 15, ""rw"": 9}, {""sf"": 8, ""pw"": 10, ""rw"": 8}, {""sf"": 8, ""pw"": 11, ""rw"": 8}, {""sf"": 8, ""pw"": 12, ""rw"": 8}, {""sf"": 8, ""pw"": 13, ""rw"": 8}, {""sf"": 8, ""pw"": 14, ""rw"": 8}, {""sf"": 8, ""pw"": 15, ""rw"": 9}, {""sf"": 9, ""pw"": 10, ""rw"": 8}, {""sf"": 9, ""pw"": 11, ""rw"": 8}, {""sf"": 9, ""pw"": 12, ""rw"": 8}, {""sf"": 9, ""pw"": 13, ""rw"": 8}, {""sf"": 9, ""pw"": 14, ""rw"": 9}, {""sf"": 10, ""pw"": 10, ""rw"": 8}, {""sf"": 10, ""pw"": 11, ""rw"": 8}, {""sf"": 10, ""pw"": 12, ""rw"": 8}, {""sf"": 10, ""pw"": 13, ""rw"": 8}, {""sf"": 10, ""pw"": 14, ""rw"": 8}, {""sf"": 10, ""pw"": 15, ""rw"": 9}, {""sf"": 11, ""pw"": 10, ""rw"": 8}, {""sf"": 11, ""pw"": 11, ""rw"": 8}, {""sf"": 11, ""pw"": 12, ""rw"": 8}, {""sf"": 11, ""pw"": 13, ""rw"": 8}, {""sf"": 11, ""pw"": 14, ""rw"": 8}, {""sf"": 11, ""pw"": 15, ""rw"": 9}, {""sf"": 12, ""pw"": 10, ""rw"": 8}, {""sf"": 12, ""pw"": 11, ""rw"": 8}, {""sf"": 12, ""pw"": 12, ""rw"": 8}, {""sf"": 12, ""pw"": 13, ""rw"": 8}, {""sf"": 12, ""pw"": 14, ""rw"": 8}, {""sf"": 12, ""pw"": 15, ""rw"": 10}]",1,1
QUFB,RkowUS7NaWriYP0vCxf+2A==,31955,15,15,11,00:00:59,"[{""sf"": 7, ""pw"": 10, ""rw"": 8}, {""sf"": 7, ""pw"": 11, ""rw"": 8}, {""sf"": 7, ""pw"": 12, ""rw"": 8}, {""sf"": 7, ""pw"": 13, ""rw"": 8}, {""sf"": 7, ""pw"": 14, ""rw"": 8}, {""sf"": 7, ""pw"": 15, ""rw"": 9}, {""sf"": 8, ""pw"": 10, ""rw"": 8}, {""sf"": 8, ""pw"": 11, ""rw"": 8}, {""sf"": 8, ""pw"": 12, ""rw"": 8}, {""sf"": 8, ""pw"": 13, ""rw"": 8}, {""sf"": 8, ""pw"": 14, ""rw"": 8}, {""sf"": 8, ""pw"": 15, ""rw"": 9}, {""sf"": 9, ""pw"": 10, ""rw"": 8}, {""sf"": 9, ""pw"": 11, ""rw"": 8}, {""sf"": 9, ""pw"": 12, ""rw"": 8}, {""sf"": 9, ""pw"": 13, ""rw"": 8}, {""sf"": 9, ""pw"": 14, ""rw"": 9}, {""sf"": 10, ""pw"": 10, ""rw"": 8}, {""sf"": 10, ""pw"": 11, ""rw"": 8}, {""sf"": 10, ""pw"": 12, ""rw"": 8}, {""sf"": 10, ""pw"": 13, ""rw"": 8}, {""sf"": 10, ""pw"": 14, ""rw"": 8}, {""sf"": 10, ""pw"": 15, ""rw"": 9}, {""sf"": 11, ""pw"": 10, ""rw"": 8}, {""sf"": 11, ""pw"": 11, ""rw"": 8}, {""sf"": 11, ""pw"": 12, ""rw"": 8}, {""sf"": 11, ""pw"": 13, ""rw"": 8}, {""sf"": 11, ""pw"": 14, ""rw"": 8}, {""sf"": 11, ""pw"": 15, ""rw"": 9}, {""sf"": 12, ""pw"": 10, ""rw"": 8}, {""sf"": 12, ""pw"": 11, ""rw"": 8}, {""sf"": 12, ""pw"": 12, ""rw"": 8}, {""sf"": 12, ""pw"": 13, ""rw"": 8}, {""sf"": 12, ""pw"": 14, ""rw"": 8}, {""sf"": 12, ""pw"": 15, ""rw"": 10}]",1,1
QEBA,,1,15,15,11,00:41:32,"[{""sf"": 7, ""pw"": 10, ""rw"": 8}, {""sf"": 7, ""pw"": 11, ""rw"": 8}, {""sf"": 7, ""pw"": 12, ""rw"": 8}, {""sf"": 7, ""pw"": 13, ""rw"": 8}, {""sf"": 7, ""pw"": 14, ""rw"": 8}, {""sf"": 7, ""pw"": 15, ""rw"": 9}, {""sf"": 8, ""pw"": 10, ""rw"": 8}, {""sf"": 8, ""pw"": 11, ""rw"": 8}, {""sf"": 8, ""pw"": 12, ""rw"": 8}, {""sf"": 8, ""pw"": 13, ""rw"": 8}, {""sf"": 8, ""pw"": 14, ""rw"": 8}, {""sf"": 8, ""pw"": 15, ""rw"": 9}, {""sf"": 9, ""pw"": 10, ""rw"": 8}, {""sf"": 9, ""pw"": 11, ""rw"": 8}, {""sf"": 9, ""pw"": 12, ""rw"": 8}, {""sf"": 9, ""pw"": 13, ""rw"": 8}, {""sf"": 9, ""pw"": 14, ""rw"": 9}, {""sf"": 10, ""pw"": 10, ""rw"": 8}, {""sf"": 10, ""pw"": 11, ""rw"": 8}, {""sf"": 10, ""pw"": 12, ""rw"": 8}, {""sf"": 10, ""pw"": 13, ""rw"": 8}, {""sf"": 10, ""pw"": 14, ""rw"": 8}, {""sf"": 10, ""pw"": 15, ""rw"": 9}, {""sf"": 11, ""pw"": 10, ""rw"": 8}, {""sf"": 11, ""pw"": 11, ""rw"": 8}, {""sf"": 11, ""pw"": 12, ""rw"": 8}, {""sf"": 11, ""pw"": 13, ""rw"": 8}, {""sf"": 11, ""pw"": 14, ""rw"": 8}, {""sf"": 11, ""pw"": 15, ""rw"": 9}, {""sf"": 12, ""pw"": 10, ""rw"": 8}, {""sf"": 12, ""pw"": 11, ""rw"": 8}, {""sf"": 12, ""pw"": 12, ""rw"": 8}, {""sf"": 12, ""pw"": 13, ""rw"": 8}, {""sf"": 12, ""pw"": 14, ""rw"": 8}, {""sf"": 12, ""pw"": 15, ""rw"": 10}]",1,1
QUBA,,1,15,15,11,00:50:35,"[{""sf"": 7, ""pw"": 10, ""rw"": 8}, {""sf"": 7, ""pw"": 11, ""rw"": 8}, {""sf"": 7, ""pw"": 12, ""rw"": 8}, {""sf"": 7, ""pw"": 13, ""rw"": 8}, {""sf"": 7, ""pw"": 14, ""rw"": 8}, {""sf"": 7, ""pw"": 15, ""rw"": 9}, {""sf"": 8, ""pw"": 10, ""rw"": 8}, {""sf"": 8, ""pw"": 11, ""rw"": 8}, {""sf"": 8, ""pw"": 12, ""rw"": 8}, {""sf"": 8, ""pw"": 13, ""rw"": 8}, {""sf"": 8, ""pw"": 14, ""rw"": 8}, {""sf"": 8, ""pw"": 15, ""rw"": 9}, {""sf"": 9, ""pw"": 10, ""rw"": 8}, {""sf"": 9, ""pw"": 11, ""rw"": 8}, {""sf"": 9, ""pw"": 12, ""rw"": 8}, {""sf"": 9, ""pw"": 13, ""rw"": 8}, {""sf"": 9, ""pw"": 14, ""rw"": 9}, {""sf"": 10, ""pw"": 10, ""rw"": 8}, {""sf"": 10, ""pw"": 11, ""rw"": 8}, {""sf"": 10, ""pw"": 12, ""rw"": 8}, {""sf"": 10, ""pw"": 13, ""rw"": 8}, {""sf"": 10, ""pw"": 14, ""rw"": 8}, {""sf"": 10, ""pw"": 15, ""rw"": 9}, {""sf"": 11, ""pw"": 10, ""rw"": 8}, {""sf"": 11, ""pw"": 11, ""rw"": 8}, {""sf"": 11, ""pw"": 12, ""rw"": 8}, {""sf"": 11, ""pw"": 13, ""rw"": 8}, {""sf"": 11, ""pw"": 14, ""rw"": 8}, {""sf"": 11, ""pw"": 15, ""rw"": 9}, {""sf"": 12, ""pw"": 10, ""rw"": 8}, {""sf"": 12, ""pw"": 11, ""rw"": 8}, {""sf"": 12, ""pw"": 12, ""rw"": 8}, {""sf"": 12, ""pw"": 13, ""rw"": 8}, {""sf"": 12, ""pw"": 14, ""rw"": 8}, {""sf"": 12, ""pw"": 15, ""rw"": 10}]",1,1
QUFA,,1,15,15,11,00:54:46,"[{""sf"": 7, ""pw"": 10, ""rw"": 8}, {""sf"": 7, ""pw"": 11, ""rw"": 8}, {""sf"": 7, ""pw"": 12, ""rw"": 8}, {""sf"": 7, ""pw"": 13, ""rw"": 8}, {""sf"": 7, ""pw"": 14, ""rw"": 8}, {""sf"": 7, ""pw"": 15, ""rw"": 9}, {""sf"": 8, ""pw"": 10, ""rw"": 8}, {""sf"": 8, ""pw"": 11, ""rw"": 8}, {""sf"": 8, ""pw"": 12, ""rw"": 8}, {""sf"": 8, ""pw"": 13, ""rw"": 8}, {""sf"": 8, ""pw"": 14, ""rw"": 8}, {""sf"": 8, ""pw"": 15, ""rw"": 9}, {""sf"": 9, ""pw"": 10, ""rw"": 8}, {""sf"": 9, ""pw"": 11, ""rw"": 8}, {""sf"": 9, ""pw"": 12, ""rw"": 8}, {""sf"": 9, ""pw"": 13, ""rw"": 8}, {""sf"": 9, ""pw"": 14, ""rw"": 9}, {""sf"": 10, ""pw"": 10, ""rw"": 8}, {""sf"": 10, ""pw"": 11, ""rw"": 8}, {""sf"": 10, ""pw"": 12, ""rw"": 8}, {""sf"": 10, ""pw"": 13, ""rw"": 8}, {""sf"": 10, ""pw"": 14, ""rw"": 8}, {""sf"": 10, ""pw"": 15, ""rw"": 9}, {""sf"": 11, ""pw"": 10, ""rw"": 8}, {""sf"": 11, ""pw"": 11, ""rw"": 8}, {""sf"": 11, ""pw"": 12, ""rw"": 8}, {""sf"": 11, ""pw"": 13, ""rw"": 8}, {""sf"": 11, ""pw"": 14, ""rw"": 8}, {""sf"": 11, ""pw"": 15, ""rw"": 9}, {""sf"": 12, ""pw"": 10, ""rw"": 8}, {""sf"": 12, ""pw"": 11, ""rw"": 8}, {""sf"": 12, ""pw"": 12, ""rw"": 8}, {""sf"": 12, ""pw"": 13, ""rw"": 8}, {""sf"": 12, ""pw"": 14, ""rw"": 8}, {""sf"": 12, ""pw"": 15, ""rw"": 10}]",1,1
QkJA,,1,15,15,11,00:03:37,"[{""sf"": 7, ""pw"": 10, ""rw"": 8}, {""sf"": 7, ""pw"": 11, ""rw"": 8}, {""sf"": 7, ""pw"": 12, ""rw"": 8}, {""sf"": 7, ""pw"": 13, ""rw"": 8}, {""sf"": 7, ""pw"": 14, ""rw"": 8}, {""sf"": 7, ""pw"": 15, ""rw"": 9}, {""sf"": 8, ""pw"": 10, ""rw"": 8}, {""sf"": 8, ""pw"": 11, ""rw"": 8}, {""sf"": 8, ""pw"": 12, ""rw"": 8}, {""sf"": 8, ""pw"": 13, ""rw"": 8}, {""sf"": 8, ""pw"": 14, ""rw"": 8}, {""sf"": 8, ""pw"": 15, ""rw"": 9}, {""sf"": 9, ""pw"": 10, ""rw"": 8}, {""sf"": 9, ""pw"": 11, ""rw"": 8}, {""sf"": 9, ""pw"": 12, ""rw"": 8}, {""sf"": 9, ""pw"": 13, ""rw"": 8}, {""sf"": 9, ""pw"": 14, ""rw"": 9}, {""sf"": 10, ""pw"": 10, ""rw"": 8}, {""sf"": 10, ""pw"": 11, ""rw"": 8}, {""sf"": 10, ""pw"": 12, ""rw"": 8}, {""sf"": 10, ""pw"": 13, ""rw"": 8}, {""sf"": 10, ""pw"": 14, ""rw"": 8}, {""sf"": 10, ""pw"": 15, ""rw"": 9}, {""sf"": 11, ""pw"": 10, ""rw"": 8}, {""sf"": 11, ""pw"": 11, ""rw"": 8}, {""sf"": 11, ""pw"": 12, ""rw"": 8}, {""sf"": 11, ""pw"": 13, ""rw"": 8}, {""sf"": 11, ""pw"": 14, ""rw"": 8}, {""sf"": 11, ""pw"": 15, ""rw"": 9}, {""sf"": 12, ""pw"": 10, ""rw"": 8}, {""sf"": 12, ""pw"": 11, ""rw"": 8}, {""sf"": 12, ""pw"": 12, ""rw"": 8}, {""sf"": 12, ""pw"": 13, ""rw"": 8}, {""sf"": 12, ""pw"": 14, ""rw"": 8}, {""sf"": 12, ""pw"": 15, ""rw"": 10}]",1,1
Q0NA,,1,15,15,11,00:12:38,"[{""sf"": 7, ""pw"": 10, ""rw"": 8}, {""sf"": 7, ""pw"": 11, ""rw"": 8}, {""sf"": 7, ""pw"": 12, ""rw"": 8}, {""sf"": 7, ""pw"": 13, ""rw"": 8}, {""sf"": 7, ""pw"": 14, ""rw"": 8}, {""sf"": 7, ""pw"": 15, ""rw"": 9}, {""sf"": 8, ""pw"": 10, ""rw"": 8}, {""sf"": 8, ""pw"": 11, ""rw"": 8}, {""sf"": 8, ""pw"": 12, ""rw"": 8}, {""sf"": 8, ""pw"": 13, ""rw"": 8}, {""sf"": 8, ""pw"": 14, ""rw"": 8}, {""sf"": 8, ""pw"": 15, ""rw"": 9}, {""sf"": 9, ""pw"": 10, ""rw"": 8}, {""sf"": 9, ""pw"": 11, ""rw"": 8}, {""sf"": 9, ""pw"": 12, ""rw"": 8}, {""sf"": 9, ""pw"": 13, ""rw"": 8}, {""sf"": 9, ""pw"": 14, ""rw"": 9}, {""sf"": 10, ""pw"": 10, ""rw"": 8}, {""sf"": 10, ""pw"": 11, ""rw"": 8}, {""sf"": 10, ""pw"": 12, ""rw"": 8}, {""sf"": 10, ""pw"": 13, ""rw"": 8}, {""sf"": 10, ""pw"": 14, ""rw"": 8}, {""sf"": 10, ""pw"": 15, ""rw"": 9}, {""sf"": 11, ""pw"": 10, ""rw"": 8}, {""sf"": 11, ""pw"": 11, ""rw"": 8}, {""sf"": 11, ""pw"": 12, ""rw"": 8}, {""sf"": 11, ""pw"": 13, ""rw"": 8}, {""sf"": 11, ""pw"": 14, ""rw"": 8}, {""sf"": 11, ""pw"": 15, ""rw"": 9}, {""sf"": 12, ""pw"": 10, ""rw"": 8}, {""sf"": 12, ""pw"": 11, ""rw"": 8}, {""sf"": 12, ""pw"": 12, ""rw"": 8}, {""sf"": 12, ""pw"": 13, ""rw"": 8}, {""sf"": 12, ""pw"": 14, ""rw"": 8}, {""sf"": 12, ""pw"": 15, ""rw"": 10}]",1,1
RERA,,1,15,15,11,00:20:13,"[{""sf"": 7, ""pw"": 10, ""rw"": 8}, {""sf"": 7, ""pw"": 11, ""rw"": 8}, {""sf"": 7, ""pw"": 12, ""rw"": 8}, {""sf"": 7, ""pw"": 13, ""rw"": 8}, {""sf"": 7, ""pw"": 14, ""rw"": 8}, {""sf"": 7, ""pw"": 15, ""rw"": 9}, {""sf"": 8, ""pw"": 10, ""rw"": 8}, {""sf"": 8, ""pw"": 11, ""rw"": 8}, {""sf"": 8, ""pw"": 12, ""rw"": 8}, {""sf"": 8, ""pw"": 13, ""rw"": 8}, {""sf"": 8, ""pw"": 14, ""rw"": 8}, {""sf"": 8, ""pw"": 15, ""rw"": 9}, {""sf"": 9, ""pw"": 10, ""rw"": 8}, {""sf"": 9, ""pw"": 11, ""rw"": 8}, {""sf"": 9, ""pw"": 12, ""rw"": 8}, {""sf"": 9, ""pw"": 13, ""rw"": 8}, {""sf"": 9, ""pw"": 14, ""rw"": 9}, {""sf"": 10, ""pw"": 10, ""rw"": 8}, {""sf"": 10, ""pw"": 11, ""rw"": 8}, {""sf"": 10, ""pw"": 12, ""rw"": 8}, {""sf"": 10, ""pw"": 13, ""rw"": 8}, {""sf"": 10, ""pw"": 14, ""rw"": 8}, {""sf"": 10, ""pw"": 15, ""rw"": 9}, {""sf"": 11, ""pw"": 10, ""rw"": 8}, {""sf"": 11, ""pw"": 11, ""rw"": 8}, {""sf"": 11, ""pw"": 12, ""rw"": 8}, {""sf"": 11, ""pw"": 13, ""rw"": 8}, {""sf"": 11, ""pw"": 14, ""rw"": 8}, {""sf"": 11, ""pw"": 15, ""rw"": 9}, {""sf"": 12, ""pw"": 10, ""rw"": 8}, {""sf"": 12, ""pw"": 11, ""rw"": 8}, {""sf"": 12, ""pw"": 12, ""rw"": 8}, {""sf"": 12, ""pw"": 13, ""rw"": 8}, {""sf"": 12, ""pw"": 14, ""rw"": 8}, {""sf"": 12, ""pw"": 15, ""rw"": 10}]",1,1
RURA,,1,15,15,11,00:21:30,"[{""sf"": 7, ""pw"": 10, ""rw"": 8}, {""sf"": 7, ""pw"": 11, ""rw"": 8}, {""sf"": 7, ""pw"": 12, ""rw"": 8}, {""sf"": 7, ""pw"": 13, ""rw"": 8}, {""sf"": 7, ""pw"": 14, ""rw"": 8}, {""sf"": 7, ""pw"": 15, ""rw"": 9}, {""sf"": 8, ""pw"": 10, ""rw"": 8}, {""sf"": 8, ""pw"": 11, ""rw"": 8}, {""sf"": 8, ""pw"": 12, ""rw"": 8}, {""sf"": 8, ""pw"": 13, ""rw"": 8}, {""sf"": 8, ""pw"": 14, ""rw"": 8}, {""sf"": 8, ""pw"": 15, ""rw"": 9}, {""sf"": 9, ""pw"": 10, ""rw"": 8}, {""sf"": 9, ""pw"": 11, ""rw"": 8}, {""sf"": 9, ""pw"": 12, ""rw"": 8}, {""sf"": 9, ""pw"": 13, ""rw"": 8}, {""sf"": 9, ""pw"": 14, ""rw"": 9}, {""sf"": 10, ""pw"": 10, ""rw"": 8}, {""sf"": 10, ""pw"": 11, ""rw"": 8}, {""sf"": 10, ""pw"": 12, ""rw"": 8}, {""sf"": 10, ""pw"": 13, ""rw"": 8}, {""sf"": 10, ""pw"": 14, ""rw"": 8}, {""sf"": 10, ""pw"": 15, ""rw"": 9}, {""sf"": 11, ""pw"": 10, ""rw"": 8}, {""sf"": 11, ""pw"": 11, ""rw"": 8}, {""sf"": 11, ""pw"": 12, ""rw"": 8}, {""sf"": 11, ""pw"": 13, ""rw"": 8}, {""sf"": 11, ""pw"": 14, ""rw"": 8}, {""sf"": 11, ""pw"": 15, ""rw"": 9}, {""sf"": 12, ""pw"": 10, ""rw"": 8}, {""sf"": 12, ""pw"": 11, ""rw"": 8}, {""sf"": 12, ""pw"": 12, ""rw"": 8}, {""sf"": 12, ""pw"": 13, ""rw"": 8}, {""sf"": 12, ""pw"": 14, ""rw"": 8}, {""sf"": 12, ""pw"": 15, ""rw"": 10}]",1,1
QEBB,,1,15,15,11,00:23:07,"[{""sf"": 7, ""pw"": 10, ""rw"": 8}, {""sf"": 7, ""pw"": 11, ""rw"": 8}, {""sf"": 7, ""pw"": 12, ""rw"": 8}, {""sf"": 7, ""pw"": 13, ""rw"": 8}, {""sf"": 7, ""pw"": 14, ""rw"": 8}, {""sf"": 7, ""pw"": 15, ""rw"": 9}, {""sf"": 8, ""pw"": 10, ""rw"": 8}, {""sf"": 8, ""pw"": 11, ""rw"": 8}, {""sf"": 8, ""pw"": 12, ""rw"": 8}, {""sf"": 8, ""pw"": 13, ""rw"": 8}, {""sf"": 8, ""pw"": 14, ""rw"": 8}, {""sf"": 8, ""pw"": 15, ""rw"": 9}, {""sf"": 9, ""pw"": 10, ""rw"": 8}, {""sf"": 9, ""pw"": 11, ""rw"": 8}, {""sf"": 9, ""pw"": 12, ""rw"": 8}, {""sf"": 9, ""pw"": 13, ""rw"": 8}, {""sf"": 9, ""pw"": 14, ""rw"": 9}, {""sf"": 10, ""pw"": 10, ""rw"": 8}, {""sf"": 10, ""pw"": 11, ""rw"": 8}, {""sf"": 10, ""pw"": 12, ""rw"": 8}, {""sf"": 10, ""pw"": 13, ""rw"": 8}, {""sf"": 10, ""pw"": 14, ""rw"": 8}, {""sf"": 10, ""pw"": 15, ""rw"": 9}, {""sf"": 11, ""pw"": 10, ""rw"": 8}, {""sf"": 11, ""pw"": 11, ""rw"": 8}, {""sf"": 11, ""pw"": 12, ""rw"": 8}, {""sf"": 11, ""pw"": 13, ""rw"": 8}, {""sf"": 11, ""pw"": 14, ""rw"": 8}, {""sf"": 11, ""pw"": 15, ""rw"": 9}, {""sf"": 12, ""pw"": 10, ""rw"": 8}, {""sf"": 12, ""pw"": 11, ""rw"": 8}, {""sf"": 12, ""pw"": 12, ""rw"": 8}, {""sf"": 12, ""pw"": 13, ""rw"": 8}, {""sf"": 12, ""pw"": 14, ""rw"": 8}, {""sf"": 12, ""pw"": 15, ""rw"": 10}]",1,1
IiIi,wHr5rVKowpTXK47vFdnfxA==,20422,15,15,11,00:59:45,"[{""sf"": 7, ""pw"": 10, ""rw"": 8}, {""sf"": 7, ""pw"": 11, ""rw"": 8}, {""sf"": 7, ""pw"": 12, ""rw"": 8}, {""sf"": 7, ""pw"": 13, ""rw"": 8}, {""sf"": 7, ""pw"": 14, ""rw"": 8}, {""sf"": 7, ""pw"": 15, ""rw"": 9}, {""sf"": 8, ""pw"": 10, ""rw"": 8}, {""sf"": 8, ""pw"": 11, ""rw"": 8}, {""sf"": 8, ""pw"": 12, ""rw"": 8}, {""sf"": 8, ""pw"": 13, ""rw"": 8}, {""sf"": 8, ""pw"": 14, ""rw"": 8}, {""sf"": 8, ""pw"": 15, ""rw"": 9}, {""sf"": 9, ""pw"": 10, ""rw"": 8}, {""sf"": 9, ""pw"": 11, ""rw"": 8}, {""sf"": 9, ""pw"": 12, ""rw"": 8}, {""sf"": 9, ""pw"": 13, ""rw"": 8}, {""sf"": 9, ""pw"": 14, ""rw"": 9}, {""sf"": 10, ""pw"": 10, ""rw"": 8}, {""sf"": 10, ""pw"": 11, ""rw"": 8}, {""sf"": 10, ""pw"": 12, ""rw"": 8}, {""sf"": 10, ""pw"": 13, ""rw"": 8}, {""sf"": 10, ""pw"": 14, ""rw"": 8}, {""sf"": 10, ""pw"": 15, ""rw"": 9}, {""sf"": 11, ""pw"": 10, ""rw"": 8}, {""sf"": 11, ""pw"": 11, ""rw"": 8}, {""sf"": 11, ""pw"": 12, ""rw"": 8}, {""sf"": 11, ""pw"": 13, ""rw"": 8}, {""sf"": 11, ""pw"": 14, ""rw"": 8}, {""sf"": 11, ""pw"": 15, ""rw"": 9}, {""sf"": 12, ""pw"": 10, ""rw"": 8}, {""sf"": 12, ""pw"": 11, ""rw"": 8}, {""sf"": 12, ""pw"": 12, ""rw"": 8}, {""sf"": 12, ""pw"": 13, ""rw"": 8}, {""sf"": 12, ""pw"": 14, ""rw"": 8}, {""sf"": 12, ""pw"": 15, ""rw"": 10}]",1,1
ERER,X1ohwuc/aWZFrK6EKRS9gw==,1928,15,15,11,00:32:06,"[{""sf"": 7, ""pw"": 10, ""rw"": 8}, {""sf"": 7, ""pw"": 11, ""rw"": 8}, {""sf"": 7, ""pw"": 12, ""rw"": 8}, {""sf"": 7, ""pw"": 13, ""rw"": 8}, {""sf"": 7, ""pw"": 14, ""rw"": 8}, {""sf"": 7, ""pw"": 15, ""rw"": 9}, {""sf"": 8, ""pw"": 10, ""rw"": 8}, {""sf"": 8, ""pw"": 11, ""rw"": 8}, {""sf"": 8, ""pw"": 12, ""rw"": 8}, {""sf"": 8, ""pw"": 13, ""rw"": 8}, {""sf"": 8, ""pw"": 14, ""rw"": 8}, {""sf"": 8, ""pw"": 15, ""rw"": 9}, {""sf"": 9, ""pw"": 10, ""rw"": 8}, {""sf"": 9, ""pw"": 11, ""rw"": 8}, {""sf"": 9, ""pw"": 12, ""rw"": 8}, {""sf"": 9, ""pw"": 13, ""rw"": 8}, {""sf"": 9, ""pw"": 14, ""rw"": 9}, {""sf"": 10, ""pw"": 10, ""rw"": 8}, {""sf"": 10, ""pw"": 11, ""rw"": 8}, {""sf"": 10, ""pw"": 12, ""rw"": 8}, {""sf"": 10, ""pw"": 13, ""rw"": 8}, {""sf"": 10, ""pw"": 14, ""rw"": 8}, {""sf"": 10, ""pw"": 15, ""rw"": 9}, {""sf"": 11, ""pw"": 10, ""rw"": 8}, {""sf"": 11, ""pw"": 11, ""rw"": 8}, {""sf"": 11, ""pw"": 12, ""rw"": 8}, {""sf"": 11, ""pw"": 13, ""rw"": 8}, {""sf"": 11, ""pw"": 14, ""rw"": 8}, {""sf"": 11, ""pw"": 15, ""rw"": 9}, {""sf"": 12, ""pw"": 10, ""rw"": 8}, {""sf"": 12, ""pw"": 11, ""rw"": 8}, {""sf"": 12, ""pw"": 12, ""rw"": 8}, {""sf"": 12, ""pw"": 13, ""rw"": 8}, {""sf"": 12, ""pw"": 14, ""rw"": 8}, {""sf"": 12, ""pw"": 15, ""rw"": 10}]",1,1
